source,role,uid,url,numero,texte_ref,date,sort,dispositif,expose
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000567,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000567,CS567,PRJLANR5L17B0481,2025-03-20,Irrecevable,,
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000571,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000571,CS571,PRJLANR5L17B0481,2025-03-20,Irrecevable,,
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000570,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000570,CS570,PRJLANR5L17B0481,2025-03-20,Irrecevable,,
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000569,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000569,CS569,PRJLANR5L17B0481,2025-03-20,Discuté,"Substituer à l’alinéa 9 les trois alinéas suivants :« Les sommes payées à titre de garantie par le preneur à bail d’un local mentionné à l’article L. 145‑33 A, qu’elles soient versées ou fournies par des tiers, ne peuvent excéder le montant des loyers dus au titre d’un trimestre. Ces sommes ne portent pas intérêt au profit du preneur à bail.« Dans le cas où le bailleur d’un bail en cours dispose de garanties de toute nature dont le montant cumulé excède le montant des loyers dus au titre d’un tr","Pour assurer un impact rapide sur l’économie et l’investissement des commerçants, la limitation des garanties à trois mois de loyer doit s’appliquer non seulement aux nouveaux baux commerciaux, mais aussi aux baux en cours. Actuellement, la loi plafonne le dépôt de garantie en numéraire, mais permet aux bailleurs d’exiger d’autres garanties (caution bancaire, garantie à première demande, etc.), ce qui réduit la trésorerie des preneurs et freine leur capacité d’investissement. Or, puisque les loyers sont payés mensuellement, une garantie de trois mois suffit à couvrir les risques d’impayés. Maintenir la possibilité de cumuler plusieurs types de garanties entraînerait une surprotection du bailleur au détriment du preneur. Cet amendement vise donc à étendre la limitation à l’ensemble des gara"
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000572,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000572,CS572,PRJLANR5L17B0481,2025-03-20,Irrecevable,,
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000566,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000566,CS566,PRJLANR5L17B0481,2025-03-20,Discuté,"À la première phrase de l’alinéa 2, supprimer les mots :« situées dans un centre commercial ».","En France, l’ouverture d’un magasin prend deux à trois fois plus de temps que dans d’autres pays européens, en partie en raison des procédures d’autorisation de travaux. Pour les magasins de moins de 300 m² situés dans des centres commerciaux, le projet de loi prévoit de remplacer cette autorisation par une simple déclaration de conformité aux règles d’accessibilité et de sécurité incendie. Cette simplification, essentielle pour accélérer l’ouverture des commerces et lutter contre la vacance commerciale, ne devrait pas se limiter aux seuls centres commerciaux. Les magasins situés en centre-ville ou dans d’autres zones doivent aussi en bénéficier, sous réserve d’un rapport préalable d’un bureau de contrôle. Cela éviterait une distorsion de concurrence, réduirait l’impact de la vacance sur l"
Amendement,Auteur,AMANR5L17PO849474B0481P0D1N000568,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO849474B0481P0D1N000568,CS568,PRJLANR5L17B0481,2025-03-20,Discuté,"Substituer à l’alinéa 9 les deux alinéas suivants :« Les sommes payées à titre de garantie par le preneur à bail d’un local mentionné à l’article L. 145‑33 A, qu’elles soient versées ou fournies par des tiers, ne peuvent excéder le montant des loyers dus au titre d’un trimestre. Ces sommes ne portent pas intérêt au profit du preneur à bail.« Dans le cas où le bailleur d’un bail en cours dispose de garanties de toute nature dont le montant cumulé excède le montant des loyers dus au titre d’un tri","Actuellement, la loi limite le dépôt de garantie à trois mois de loyer pour un bail commercial, mais uniquement pour les versements en numéraire. Or, les bailleurs peuvent exiger d’autres garanties (caution bancaire, garantie à première demande, etc.), ce qui réduit la trésorerie et les capacités d’investissement des commerçants. Comme les loyers sont payés mensuellement, une garantie plafonnée à trois mois suffit à couvrir les risques d’impayés. Maintenir la possibilité de cumuler plusieurs types de garanties entraînerait une surprotection du bailleur au détriment du preneur. Cet amendement propose donc d’étendre la limitation à l’ensemble des garanties, quelle que soit leur forme."
Amendement,Cosignataire,AMANR5L17PO838901BTC1191P0D1N001850,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO838901BTC1191P0D1N001850,1850,PRJLANR5L17BTC1191,2025-04-04,Discuté,"Compléter cet article par l’alinéa suivant :« IV. – À l’article L. 2243-1 du code du travail, les mots : « d’un emprisonnement d’un an et » sont supprimés. »","Conformément à l’article L2243-1 du code du travail, le chef d’entreprise peut être condamné à une peine d’emprisonnement d’un an lorsqu’il se soustrait à ses obligations relatives à la convocation des parties à la négociation sur la rémunération, le temps de travail, la valeur ajoutée dans les entreprises et l’égalité professionnelle.La possibilité pour un chef d'entreprise d'être condamné à une peine d'emprisonnement d'un an pour des manquements relatifs à la convocation des parties à la négociation peut sembler disproportionnée, surtout lorsque ces manquements ne sont pas intentionnels mais plutôt le résultat d'une incompréhension des obligations légales ou d'une erreur administrative.C’est pourquoi, il est proposé de supprimer la peine d’emprisonnement dans c"
Amendement,Cosignataire,AMANR5L17PO838901BTC1191P0D1N001844,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO838901BTC1191P0D1N001844,1844,PRJLANR5L17BTC1191,2025-04-04,Irrecevable,,
Amendement,Cosignataire,AMANR5L17PO838901BTC1191P0D1N001851,https://www.assemblee-nationale.fr/dyn/17/amendements/AMANR5L17PO838901BTC1191P0D1N001851,1851,PRJLANR5L17BTC1191,2025-04-04,Discuté,"Au premier alinéa de l’article L. 4742-1 du code du travail, les mots : « d’un emprisonnement d’un an et » sont supprimés.","Conformément à l’article L4742-1 du code du travail, le chef d’entreprise peut être condamné à une peine d’emprisonnement d’un an lorsqu’il porte atteinte ou qu’il tente de porter atteinte soit à la constitution, soit à la libre désignation des membres du comité d’hygiène, de sécurité et des conditions de travail.La possibilité de condamner le chef d'entreprise à une peine d'emprisonnement d'un an pour des violations à la désignation des membres du comité d’hygiène, de sécurité et des conditions de travail pourrait avoir un impact disproportionné sur les petites entreprises et leurs dirigeants.C’est pourquoi, il est proposé de supprimer la peine d’emprisonnement en cas d’atteinte à la constitution des membres du comité d’hygiène, de sécurité et des conditions de "
