source,role,uid,url,date,orateur,texte
Séance plénière,Intervenant,CRSANR5L17S2025O1N014,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n014,jeudi 24 octobre 2024,M. Thomas Cazenave,Très bien !
Séance plénière,rapporteur de la commission des affaires économiques,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,"Je m’adresse à vous en tant que rapporteur de la proposition de loi contre toutes les fraudes aux aides publiques, mais aussi comme député de la Gironde. À ce titre, permettez-moi de saluer la mémoire de Nicolas Florian, grand élu de notre territoire et ancien maire de Bordeaux, disparu brutalement hier à l’âge de 55 ans. (Applaudissements sur divers bancs.)Depuis la loi relative à la lutte contre la fraude en 2018 et jusqu’au plan lancé en 2023 par Gabriel Attal, nous avons constamment agi et traqué les fraudes fiscales, sociales et douanières. En renforçant les moyens et en modernisant les outils alloués aux services de lutte contre la fraude, en adaptant les procédures et en renforçant les sanctions, nous avons fait de ce combat une priorité.Grâce à cette action résolue, nous avons obtenu des résultats encourageants : plus d’irrégularités détectées, plus d’argent public détourné récupéré, plus de sanctions infligées à ceux qui abusent du système.Malgré ces efforts, des failles subsi"
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,"C’est pourquoi nous devons agir avec détermination et fermeté.Avec près de 20 milliards d’euros consacrés annuellement aux aides publiques, dont une grande partie allouée à la transition écologique, il est impératif de garantir que chaque euro soit utilisé à bon escient. Ce texte vise à combler les failles de notre système pour éviter les détournements, protéger les bénéficiaires légitimes et récupérer jusqu’à 1,6 milliard. Nous devons faire payer les fraudeurs."
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,"Cette proposition de loi trace une double voie : agir en amont pour prévenir les fraudes à la source et renforcer drastiquement notre arsenal contre l’écodélinquance. Nous employons une méthode simple : prévenir, protéger, sanctionner.L’article 1er introduit un mécanisme général permettant de suspendre ou de refuser l’octroi d’une aide publique dès lors que des indices sérieux de fraude sont identifiés. Cette mesure pourra s’appliquer à l’ensemble des aides publiques, qu’il s’agisse de subventions, d’exonérations fiscales, de prêts, de prestations sociales ou encore de dispositifs en faveur de l’emploi ou de la rénovation énergétique.L’objectif est simple : agir rapidement pour éviter que des fonds publics ne tombent entre les mains de fraudeurs, souvent difficiles à retrouver une fois les sommes détournées. La suspension pourra être prononcée pour une durée maximale de trois mois, offrant aux administrations le temps nécessaire pour examiner les soupçons.Grâce à ce dispositif, nous en"
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,"Or cette dernière mesure – une bonne idée, sur le principe, pour s’assurer de la qualité des acteurs du marché – risque de sanctionner des entreprises vertueuses, grâce auxquelles de nombreuses opérations sont réalisées. Je pense aux distributeurs ou aux magasins de bricolage, qui proposent des solutions simples pour les Français souhaitant effectuer des travaux et qui ne font pas l’objet de signalement des autorités en charge de la fraude. De nombreux professionnels remplissent également leur carnet de commandes grâce à de telles opérations. C’est pourquoi je proposerai de revenir sur cette disposition qui pourrait, si elle était maintenue, déstabiliser profondément le marché actuel."
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,"L’article 4, enfin, cible les fraudes aux certificats d’économie d’énergie (C2E), dispositif central en matière de transition énergétique mais particulièrement exposé aux détournements. Nous prévoyons la suspension préventive de l’instruction en cas de suspicion de fraude. Dès qu’un doute sérieux émerge sur une demande, son traitement pourra être immédiatement interrompu, ce qui limitera le risque de délivrance indue de certificats.L’article prévoit ensuite des sanctions anticipées. Désormais, des pénalités pourront être appliquées avant même la délivrance des certificats si une fraude est détectée.Il renforce également les informations données lors de la publication des sanctions au Journal officiel. Dans un souci de responsabilisation et afin de dissuader les comportements frauduleux, tous les acteurs qui sont intervenus dans le cadre de l’opération frauduleuse seront mentionnés.Ces articles constituent autant de leviers pour resserrer les mailles du filet. Je sais que ce texte susci"
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,"…mais aussi sur la forme puisqu’une telle démarche constitue une première, me semble-t-il, depuis plusieurs législatures, s’agissant d’une niche parlementaire. (Applaudissements sur les bancs du groupe EPR. – Exclamations sur les bancs du groupe LFI-NFP.)"
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,Oh !
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,Oh !
Séance plénière,rapporteur,CRSANR5L17S2025O1N082,https://www.assemblee-nationale.fr/dyn/17/comptes-rendus/seance/l17s2025o1n082,lundi 27 janvier 2025,M. Thomas Cazenave,Ça n’a rien à voir avec le texte !
